date,day_label,city,stay_city,summary,walking_km,difficulty,main_warning,backup_plan,naru_note,today_where,today_leave_time,today_must_pack,today_transport
2026-07-15,7/15 수,Rome,Rome,인천공항 13:20 출발 · 로마 19:30 도착,2,보통,입국수속 후 밤 늦게 숙소 도착,숙소 체크인 후 바로 휴식,비행 후 물과 안정 필요,인천공항->로마 레오나르도 다빈치공항-로마 숙소,9시출발(공항3시간전도착),"여권, 항공권, 나루검역서류","인천공항 : 타다, 로마공항->숙소 : 택시"
2026-07-16,7/16 목,Rome,Rome,콜로세움 · 포로 로마노 · 보르게세 공원,8.2,높음,콜로세움을 본 후는 천천히 쉬면서 이동,너무 더우면 식당/카페에서,보르게세 공원에서 개운동장을 갈 수도 있음,콜로세움 → 몬티 → 트레비 → 스페인 광장 → 보르게세 공원,8시출발,딱히 없음,콜로세움까지 택시(이후는 도보)/숙소로 올때 택시(아니면 한번 정도 로마지하철)
2026-07-17,7/17 금,Rome,Rome,바티칸 · 성베드로 대성당,7,높음,입장 동선과 대기시간 확인,일부만 입장하고 트라스테베레 산책,인파 많은 곳 주의,"A팀: 바티칸투어, B팀: 오전 나루산책, 오후투어",A팀: 6시(투어 7시부터) B팀:1시(오후투어 13시부터),바티칸투어예약서류,도보로 이동
2026-07-18,7/18 토,Rome,Rome,"판테온, 나보나광장, 트레비 분수,주변골목",,,가장 로마스러움,너무 더우면 식당/카페에서,,나보나광장 → 판테온 → 트레비 분수,새벽 트레비분수,딱히 없음,날씨좋은면 도보로이동
2026-07-19,7/19 일,Florence,Florence,로마에서 피렌체 이동,3.5,보통,12:55 기차 놓치지 않기,역 도착 후 숙소 체크인과 근처 산책,이동 중 케이지 규정 확인,"9시 체크아웃, 로마터미널에 짐맡기고 관광,피렌체이동",,,"로마터미널: 택시, 피렌체에서 숙소 : 걸어서"
2026-07-20,7/20 월,Florence,Florence,"두오모, 우피치,미켈란젤로 광장, 자유시간",,,,,,,,,
2026-07-21,7/21 화,Florence,Florence,시에나 당일치기,,,,,,,,,
2026-07-22,7/22 수,Florence,Florence,토스카나 풍경여행,,,,,,,,,
2026-07-23,7/23 목,Verona,Verona,피렌체에서 베로나 이동,,,,,,,,,
2026-07-24,7/24 금,Dolomites,Dolomites,베로나 렌터카 픽업 후 오르티세이 이동,2.5,보통,장거리 운전과 장보기 필요,숙소 주변 산책만 진행,차량 이동 스트레스 관리,,,,
2026-07-25,7/25 토,Dolomites,Dolomites,알페 디 시우시,,,,,,,,,
2026-07-26,7/26 일,Dolomites,Dolomites,세체다 전망대,,,,,,,,,
2026-07-27,7/27 월,Dolomites,Dolomites,브라이에스 호수,,,,,,,,,
2026-07-28,7/28 화,Milan,Milan,돌로미티에서 밀라도 이동,,,,,,,,,
2026-07-29,7/29 수,Milan,Milan,"두오모 대성당, 비토리오 에마누엘레 2세 갤러리아",7.2,높음,성당 내부/옥상 시간 확인,오후 숙소 휴식 후 두오모 야경,도심 더위와 바닥 열 주의,,,,
2026-07-30,7/30 목,Milan,Milan,"스포르체스코 성, 브레라 지구 산책",,,,,,,,,
2026-07-31,7/31 금,Milan,Milan,지은 귀국(말펜사 공항 22:00),,,,,,,,,
2026-08-01,8/1 토,Milan,Milan,"산타 마리아 델레 그라치에(최후의 만찬), 나빌리오",,,,,,,,,
2026-08-02,8/2 일,Annecy,Annecy,밀라노에서 안시 이동,,,,,,,,,
2026-08-03,8/3 월,Annecy,Annecy,레이크 안시 산책과 휴식,5,낮음,호수 주변 자전거는 선택,피크닉 또는 카페 휴식,나루에게 가장 편한 산책일,,,,
2026-08-04,8/4 화,Chessy,Chessy,안시에서 쎄시 이동,,,,,,,,,
2026-08-05,8/5 수,Chessy,Chessy,디즈니랜드,10,높음,입장 시간과 인기 어트랙션 우선순위,오후 휴식 후 퍼레이드 중심,나루는 산책/휴식 관리,,,,
2026-08-06,8/6 목,Chessy,Chessy,디즈니랜드,,,,,,,,,
2026-08-07,8/7 금,Mont-Saint-Michel,Mont-Saint-Michel,디즈니에서 몽생미셸 이동 · 석양과 야경,4,보통,07:00 출발과 장거리 운전,도착 후 낮 산책만 가볍게,해변 바람과 피로 관리,,,,
2026-08-08,8/8 토,Paris,Paris,몽생미셜에서 파리 이동,,,,,,,,,
2026-08-09,8/9 일,Paris,Paris,에펠탑 · 개선문 · 샹젤리제 외부 중심,8,높음,관광지 소매치기 주의,잔디/공원 휴식 위주로 조정,혼잡 구간 안고 이동 주의,,,,
2026-08-10,8/10 월,Paris,Paris,루브르 외부 + 중심 산책,,,,,,,,,
2026-08-11,8/11 화,Paris,Paris,몽마르트 감성 코스,,,,,,,,,
2026-08-12,8/12 수,Paris,Paris,자유일 (쇼핑 or 휴식),,,,,,,,,
2026-08-13,8/13 목,Paris,Paris,쇼핑 + 파리 감성 마무리,,,,,,,,,
2026-08-14,8/14 금,Paris,Paris,마지막 산책 후 샤를 드골공항 20:35 출발,3,보통,공항 이동 시간 여유 확보,숙소 주변 카페 후 조기 공항 이동,귀국 비행 전 컨디션 안정,,,,
